service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1511-Collier-Weekday-24,1,1,1,1,1,0,0,20151122,20160326
1511-Collier-Saturday-72,0,0,0,0,0,1,0,20151122,20160326
1511-Collier-Sunday-12,0,0,0,0,0,0,1,20151122,20160326
1511-Liberty-Weekday-22,1,1,1,1,1,0,0,20151122,20160326
1511-Liberty-Saturday-71,0,0,0,0,0,1,0,20151122,20160326
1511-Liberty-Sunday-11,0,0,0,0,0,0,1,20151122,20160326
1511-Mifflin-Weekday-26,1,1,1,1,1,0,0,20151122,20160326
1511-Mifflin-Saturday-76,0,0,0,0,0,1,0,20151122,20160326
1511-Mifflin-Sunday-13,0,0,0,0,0,0,1,20151122,20160326
1511-Ross-Weekday-22,1,1,1,1,1,0,0,20151122,20160326
1511-Ross-Saturday-72,0,0,0,0,0,1,0,20151122,20160326
1511-Ross-Sunday-11,0,0,0,0,0,0,1,20151122,20160326
1511-Village-Weekday-22,1,1,1,1,1,0,0,20151122,20160326
1511-Village-Saturday-71,0,0,0,0,0,1,0,20151122,20160326
1511-Village-Sunday-11,0,0,0,0,0,0,1,20151122,20160326
W,1,1,1,1,1,0,0,20151122,20160326
S,0,0,0,0,0,1,0,20151122,20160326
U,0,0,0,0,0,0,1,20151122,20160326
1511-Village-ThanksgivingHoliday-81,0,0,0,1,0,0,0,20151126,20151126
1511-Village-XmasAndNewYearsHoliday-82,0,0,0,0,1,0,0,20151225,20160101
