stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
E00175,2593,"26TH ST AT PENN AVE FS (SPRING WAY)",,  40.454635, -79.978170,01
E00180,2161,"28TH ST AT LIBERTY AVE",,  40.456288, -79.974651,01
E00270,2410,"32ND ST AT SPRING WAY",,  40.460347, -79.969436,01
E00420,1199,"40TH ST AT BUTLER ST",,  40.468655, -79.962115,01
E00430,20106,"40TH ST AT DAVIDSON ST FS",,  40.467676, -79.960929,01
E00445,19111,"40TH ST AT GOVERNMENT WAY STEPS",,  40.466149, -79.958976,01
E00500,1149,"40TH ST OPP DAVIDSON ST",,  40.467585, -79.961076,01
E00750,12590,"4TH ST AT COREY AVE",,  40.408242, -79.867215,1A
E00910,3145,"FIFTH AVE AT AIKEN AVE",,  40.448529, -79.934107,01
E00920,1166,"FIFTH AVE AT AMBERSON AVE",,  40.447751, -79.938742,01
E00950,8318,"FIFTH AVE AT BEECHWOOD BLVD",,  40.453480, -79.915595,01
E00970,1171,"FIFTH AVE AT BELLEFIELD AVE",,  40.446704, -79.951806,01
E00975,3254,"FIFTH AVE AT BELLEFIELD AVE",,  40.446296, -79.952021,01
E00980,3144,"FIFTH AVE AT BELLEFONTE ST",,  40.449028, -79.932476,01
E01000,34,"FIFTH AVE AT BIGELOW BLVD (PITT)",,  40.444618, -79.954707,01
E01010,2567,"FIFTH AVE AT BIGELOW BLVD (PITT)",,  40.444299, -79.954840,01
E01030,3252,"FIFTH AVE AT BIRMINGHAM BRIDGE",,  40.437690, -79.973041,01
E01040,18165,"FIFTH AVE AT BRENHAM ST FS",,  40.436479, -79.968584,01
E01050,38,"FIFTH AVE AT CHESTERFIELD RD",,  40.439525, -79.961689,01
E01090,3141,"FIFTH AVE AT COLLEGE ST",,  40.451317, -79.925679,01
E01130,2561,"FIFTH AVE AT CRAFT AVE (CARLOW UNIV)",,  40.437698, -79.964185,01
E01140,1170,"FIFTH AVE AT CRAIG ST",,  40.447078, -79.948856,01
E01150,1174,"FIFTH AVE AT CRAIG ST NS",,  40.446795, -79.949505,01
E01180,5128,"FIFTH AVE AT DESOTO ST",,  40.442326, -79.957877,01
E01190,3151,"FIFTH AVE AT DINWIDDIE ST",,  40.438399, -79.980575,01
E01210,17671,"FIFTH AVE AT MCKEE PL FS",,  40.440634, -79.959848,01
E01225,2562,"FIFTH AVE AT HALKET ST",,  40.438955, -79.962128,01
E01230,14573,"5TH AVE AT HAMILTON AVE",,  40.457435, -79.909041,01
E01260,8312,"FIFTH AVE AT HIGHLAND AVE",,  40.451996, -79.923883,01
E01310,18164,"FIFTH AVE AT KIRKPATRICK ST FS",,  40.437895, -79.973003,01
E01330,3156,"FIFTH AVE AT MAGEE ST",,  40.438709, -79.988102,01
E01335,2564,"FIFTH AVE AT MEYRAN AVE",,  40.441102, -79.959195,01
E01350,3142,"FIFTH AVE AT MARYLAND AVE",,  40.450614, -79.927359,01
E01360,2565,"FIFTH AVE AT OAKLAND AVE",,  40.442077, -79.957855,01
E01370,20108,"FIFTH AVE OPP MCPHERSON ST FS",,  40.455534, -79.910929,01
E01380,20016,"FIFTH AVE AT MCPHERSON ST",,  40.455609, -79.910532,01
E01400,2557,"FIFTH AVE AT #2410 (ACTA PROGRAM)",,  40.436766, -79.970267,01
E01410,1167,"FIFTH AVE AT MOREWOOD AVE",,  40.447468, -79.942352,01
E01420,1177,"FIFTH AVE AT MOREWOOD AVE",,  40.447283, -79.942673,01
E01440,3251,"FIFTH AVE AT MOULTRIE ST",,  40.437902, -79.974559,01
E01450,3147,"FIFTH AVE AT MOULTRIE ST FS",,  40.438097, -79.974410,01
E01460,3143,"FIFTH AVE AT NEGLEY AVE",,  40.449884, -79.929590,01
E01470,3257,"FIFTH AVE AT NEGLEY AVE",,  40.449721, -79.929700,01
E01480,1169,"FIFTH AVE AT NEVILLE ST",,  40.447164, -79.947203,01
E01500,1175,"FIFTH AVE AT NEVILLE ST",,  40.446993, -79.947425,01
E01540,3154,"FIFTH AVE AT PRIDE ST",,  40.438585, -79.984902,01
E01550,2640,"FIFTH AVE AT ROBINSON ST",,  40.437655, -79.965223,01
E01560,19850,"FIFTH AVE AT MAURICE ST",,  40.437411, -79.965357,01
E01570,2556,"FIFTH AVE AT #2358",,  40.437055, -79.971135,01
E01640,3250,"FIFTH AVE AT SENECA ST",,  40.438022, -79.976035,01
E01650,8311,"FIFTH AVE AT SHADY AVE",,  40.452952, -79.920671,01
E01660,8317,"FIFTH AVE AT SHADY AVE",,  40.452814, -79.920807,01
E01700,3155,"FIFTH AVE AT STEVENSON ST",,  40.438652, -79.986317,01
E01710,33,"FIFTH AVE AT TENNYSON AVE",,  40.445676, -79.953221,01
E01720,3253,"FIFTH AVE OPP TENNYSON AVE",,  40.445488, -79.953131,01
E01730,35,"FIFTH AVE AT THACKERAY AVE",,  40.443261, -79.956444,01
E01760,8320,"FIFTH AVE AT THOMAS BLVD",,  40.454729, -79.911486,01
E01810,3157,"FIFTH AVE AT WASHINGTON PL",,  40.438844, -79.990723,01
E01820,1179,"FIFTH AVE AT WILKINS AVE FS",,  40.447738, -79.936970,01
E01840,3149,"FIFTH AVE AT WYANDOTTE ST",,  40.438258, -79.977353,01
E01860,1178,"FIFTH AVE OPP AMBERSON AVE",,  40.447534, -79.939104,01
E01870,36,"FIFTH AVE OPP ATWOOD ST",,  40.441802, -79.958488,01
E01890,8310,"FIFTH AVE OPP BEECHWOOD BLVD",,  40.453713, -79.915229,01
E01900,3256,"FIFTH AVE OPP BELLEFONTE ST",,  40.448788, -79.932562,01
E01910,2558,"FIFTH AVE OPP BRENHAM ST",,  40.436341, -79.968608,01
E01920,1176,"FIFTH AVE OPP CLYDE ST",,  40.447089, -79.945377,01
E01930,3259,"FIFTH AVE OPP COLLEGE ST",,  40.451087, -79.925842,01
E01940,2639,"FIFTH AVE OPP CRAFT AVE (CARLOW UNIV)",,  40.437916, -79.963899,01
E01960,3150,"FIFTH AVE OPP GIST ST",,  40.438340, -79.979468,01
E01980,8316,"FIFTH AVE OPP HIGHLAND AVE",,  40.451835, -79.924005,01
E01990,3258,"FIFTH AVE OPP MARYLAND AVE",,  40.450432, -79.927451,01
E02010,2643,"FIFTH AVE OPP #2410 (ACTA PROGRAM)",,  40.436903, -79.970166,01
E02030,2644,"FIFTH AVE OPP #2358",,  40.437175, -79.970989,01
E02040,3148,"FIFTH AVE OPP SENECA ST",,  40.438199, -79.975867,01
E02050,2566,"FIFTH AVE OPP THACKERAY AVE",,  40.443079, -79.956461,01
E02080,3152,"FIFTH AVE OPP VAN BRAAM ST",,  40.438504, -79.982631,01
E02090,1165,"FIFTH AVE OPP WILKINS AVE",,  40.447846, -79.937050,01
E02110,7858,"5TH ST AT CAVIT AVE",,  40.385732, -79.760090,02
E02245,12567,"6TH ST AT BALDRIDGE AVE",,  40.405727, -79.863519,1A
E02430,20792,"7TH ST AT PROSPECT AVE",,  40.386382, -79.752605,02
E02770,8846,"ABER RD AT GROVE RD",,  40.467845, -79.865294,01
E02790,8845,"ABER RD AT #8077",,  40.469171, -79.862215,01
E02810,8844,"ABER RD AT #8141",,  40.471007, -79.861553,01
E02850,8847,"ABER RD AT URBAN DR",,  40.467325, -79.869360,01
E02870,8843,"ABER RD OPP HARVEST DR",,  40.473450, -79.861848,01
E02890,9057,"ADELAIDE ST AT CAMP ST",,  40.453361, -79.957913,01
E02900,19491,"ADELAIDE ST AT IOWA ST FS",,  40.452942, -79.956694,01
E02910,9002,"ADELAIDE ST AT MILWAUKEE ST",,  40.454627, -79.960621,01
E02920,19492,"ADELAIDE ST OPP LYON ST FS",,  40.453846, -79.959322,01
E02925,9254,"AIKEN AVE AT BROAD ST",,  40.465602, -79.935889,01
E02929,9253,"AIKEN AVE AT KINCAID ST",,  40.466300, -79.935476,01
E02930,9255,"AIKEN AVE AT PENN AVE",,  40.464749, -79.936442,01
E02931,9252,"AIKEN AVE AT ROSETTA ST",,  40.467044, -79.935035,01
E02940,7775,"AIRBRAKE AVE AT 11TH ST",,  40.403305, -79.822897,02
E02980,7832,"AIRBRAKE AVE OPP 5TH ST",,  40.400914, -79.817766,02
E02990,7772,"AIRBRAKE AVE AT 7TH ST",,  40.401772, -79.819274,02
E03000,7831,"AIRBRAKE AVE OPP 7TH ST",,  40.401711, -79.819632,02
E03010,7773,"AIRBRAKE AVE AT 9TH ST",,  40.402552, -79.821087,02
E03020,7839,"AIRBRAKE AVE AT BRIDGE ST",,  40.395271, -79.805455,02
E03030,20104,"PENN AVE AT GRANT ST",,  40.404772, -79.825691,02
E03080,7829,"AIRBRAKE AVE OPP 10TH ST",,  40.402855, -79.822301,02
E03100,7828,"AIRBRAKE AVE OPP 11TH ST",,  40.403263, -79.823211,02
E03120,7836,"AIRBRAKE AVE OPP 1ST ST",,  40.397910, -79.813122,02
E03140,7835,"AIRBRAKE AVE OPP 2ND ST",,  40.399453, -79.815430,02
E03150,7834,"AIRBRAKE AVE OPP 3RD ST",,  40.399966, -79.816231,02
E03200,7830,"AIRBRAKE AVE OPP 9TH ST",,  40.402465, -79.821380,02
E03240,7838,"AIRBRAKE AVE AT MILLER ST",,  40.395321, -79.806449,02
E03260,17182,"AIRBRAKE AVE OPP STEPS",,  40.396347, -79.810671,02
E03270,7774,"AIRBRAKE AVE AT 10TH ST",,  40.402928, -79.821978,02
E03273,8085,"ALBERT ST AT MAPLE AVE",,  40.408014, -79.819737,02
E03277,20696,"ALCOMA BLVD AT TURNAROUND",,  40.485374, -79.799680,02
