route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
048-159,1511-Collier-Weekday-24,2845-1313905,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -272,0480096
041-159,1511-Collier-Weekday-24,2846-1313890,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -217,0410015
048-159,1511-Collier-Weekday-24,2847-1313906,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -273,0480096
041-159,1511-Collier-Weekday-24,2848-1313891,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -218,0410015
043-159,1511-Collier-Weekday-24,2849-1314046,Outbound-BAILEY TO BOGGS AVENUE,0,043 -244,0430026
048-159,1511-Collier-Weekday-24,2850-1313907,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -274,0480096
041-159,1511-Collier-Weekday-24,2851-1313892,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -219,0410015
048-159,1511-Collier-Weekday-24,2852-1313908,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -275,0480096
041-159,1511-Collier-Weekday-24,2853-1313893,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -220,0410015
043-159,1511-Collier-Weekday-24,2854-1314049,Outbound-BAILEY TO BOGGS AVENUE,0,043 -245,0430026
048-159,1511-Collier-Weekday-24,2855-1313905,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -272,0480096
041-159,1511-Collier-Weekday-24,2856-1313894,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -221,0410015
048-159,1511-Collier-Weekday-24,2857-1313931,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,039 -193,0480096
041-159,1511-Collier-Weekday-24,2858-1313895,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -222,0410015
043-159,1511-Collier-Weekday-24,2859-1314046,Outbound-BAILEY TO BOGGS AVENUE,0,043 -244,0430026
048-159,1511-Collier-Weekday-24,2860-1313906,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -273,0480096
041-159,1511-Collier-Weekday-24,2861-1313890,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -217,0410015
048-159,1511-Collier-Weekday-24,2862-1313907,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -274,0480096
041-159,1511-Collier-Weekday-24,2863-1313891,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -218,0410015
043-159,1511-Collier-Weekday-24,2864-1314049,Outbound-BAILEY TO BOGGS AVENUE,0,043 -245,0430026
048-159,1511-Collier-Weekday-24,2865-1313908,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -275,0480096
041-159,1511-Collier-Weekday-24,2866-1313892,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -219,0410015
048-159,1511-Collier-Weekday-24,2867-1313905,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -272,0480096
043-159,1511-Collier-Weekday-24,2868-1314046,Outbound-BAILEY TO BOGGS AVENUE,0,043 -244,0430026
041-159,1511-Collier-Weekday-24,2869-1313893,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -220,0410015
048-159,1511-Collier-Weekday-24,2870-1313906,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -273,0480096
041-159,1511-Collier-Weekday-24,2871-1314161,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -224,0410015
048-159,1511-Collier-Weekday-24,2872-1313907,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -274,0480096
041-159,1511-Collier-Weekday-24,2873-1314155,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -225,0410015
043-159,1511-Collier-Weekday-24,2874-1314046,Outbound-BAILEY TO BOGGS AVENUE,0,043 -244,0430026
048-159,1511-Collier-Weekday-24,2875-1314231,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -276,0480096
041-159,1511-Collier-Weekday-24,2876-1313961,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -223,0410015
048-159,1511-Collier-Weekday-24,2877-1314220,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -277,0480096
041-159,1511-Collier-Weekday-24,2878-1314208,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -226,0410015
043-159,1511-Collier-Weekday-24,2879-1314181,Outbound-BAILEY TO BOGGS AVENUE,0,043 -246,0430026
048-159,1511-Collier-Weekday-24,2880-1314178,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -278,0480096
041-159,1511-Collier-Weekday-24,2881-1314162,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -227,0410015
048-159,1511-Collier-Weekday-24,2882-1314231,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -276,0480096
041-159,1511-Collier-Weekday-24,2883-1314138,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -228,0410015
048-159,1511-Collier-Weekday-24,2884-1314220,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -277,0480096
043-159,1511-Collier-Weekday-24,2885-1314181,Outbound-BAILEY TO BOGGS AVENUE,0,043 -246,0430026
041-159,1511-Collier-Weekday-24,2886-1314141,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -229,0410015
048-159,1511-Collier-Weekday-24,2887-1314178,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -278,0480096
041-159,1511-Collier-Weekday-24,2888-1314208,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -226,0410015
048-159,1511-Collier-Weekday-24,2889-1314231,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -276,0480096
041-159,1511-Collier-Weekday-24,2890-1314162,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -227,0410015
043-159,1511-Collier-Weekday-24,2891-1314181,Outbound-BAILEY TO BOGGS AVENUE,0,043 -246,0430026
048-159,1511-Collier-Weekday-24,2892-1314221,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -279,0480096
041-159,1511-Collier-Weekday-24,2893-1314140,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -230,0410015
048-159,1511-Collier-Weekday-24,2894-1314179,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -280,0480096
041-159,1511-Collier-Weekday-24,2895-1314143,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -231,0410015
043-159,1511-Collier-Weekday-24,2896-1314183,Outbound-BAILEY TO BOGGS AVENUE,0,043 -247,0430026
048-159,1511-Collier-Weekday-24,2897-1314233,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -281,0480096
041-159,1511-Collier-Weekday-24,2898-1314180,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -232,0410015
043-159,1511-Collier-Weekday-24,2899-1314050,Outbound-BAILEY TO BOGGS AVENUE,0,043 -248,0430026
048-159,1511-Collier-Weekday-24,2900-1314221,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -279,0480096
041-159,1511-Collier-Weekday-24,2901-1314212,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -233,0410015
048-159,1511-Collier-Weekday-24,2902-1313987,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -282,0480096
041-159,1511-Collier-Weekday-24,2903-1313930,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -234,0410015
043-159,1511-Collier-Weekday-24,2904-1314183,Outbound-BAILEY TO BOGGS AVENUE,0,043 -247,0430026
048-159,1511-Collier-Weekday-24,2905-1314179,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -280,0480096
041-159,1511-Collier-Weekday-24,2906-1313896,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -235,0410015
048-159,1511-Collier-Weekday-24,2907-1313909,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -283,0480096
041-159,1511-Collier-Weekday-24,2908-1314143,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -231,0410015
043-159,1511-Collier-Weekday-24,2909-1314050,Outbound-BAILEY TO BOGGS AVENUE,0,043 -248,0430026
048-159,1511-Collier-Weekday-24,2910-1313932,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -284,0480096
041-159,1511-Collier-Weekday-24,2911-1313897,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -236,0410015
048-159,1511-Collier-Weekday-24,2912-1314234,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -285,0480096
043-159,1511-Collier-Weekday-24,2913-1314216,Outbound-BAILEY TO BOGGS AVENUE,0,043 -249,0430026
041-159,1511-Collier-Weekday-24,2914-1314158,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -237,0410015
048-159,1511-Collier-Weekday-24,2915-1313987,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -282,0480096
041-159,1511-Collier-Weekday-24,2916-1313929,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -238,0410015
043-159,1511-Collier-Weekday-24,2917-1314050,Outbound-BAILEY TO BOGGS AVENUE,0,043 -248,0430026
048-159,1511-Collier-Weekday-24,2918-1314179,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -280,0480096
041-159,1511-Collier-Weekday-24,2919-1314212,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -233,0410015
048-159,1511-Collier-Weekday-24,2920-1313909,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -283,0480096
041-159,1511-Collier-Weekday-24,2921-1313930,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -234,0410015
