"day_of_week","collision_type","crash_month","weather","vehicle_count","time_of_day","maj_inj_count","max_severity_level","dec_lat","dec_long"
4,7,1,1,1,34,0,8,40.31140137,-79.87660217
4,5,1,1,3,250,0,8,40.44409943,-80.02809906
4,7,1,2,1,352,0,8,40.44049835,-80.08070374
4,7,1,1,1,831,0,4,40.51530075,-80.00430298
4,8,1,1,1,1144,0,4,40.45059967,-80.17420197
4,2,1,1,2,1212,0,4,40.43880081,-79.99099731
4,5,1,1,2,1558,0,4,40.44260025,-79.99919891
4,8,1,1,1,1812,1,2,40.46350098,-79.93070221
5,1,1,1,3,720,0,3,40.48160172,-79.87550354
5,2,1,1,2,735,0,8,40.49039841,-79.78320313
5,1,1,1,2,1125,0,8,40.43659973,-79.9733963
5,4,1,4,2,1420,0,8,40.42570114,-79.9417038
5,7,1,4,1,1658,0,8,40.42490005,-79.95220184
7,7,1,1,1,830,0,3,40.55009842,-80.02649689
7,1,1,1,3,1009,0,8,40.47750092,-80.042099
5,4,1,4,2,1600,0,8,40.44940186,-80.0727005
5,7,1,4,1,1730,0,4,40.48220062,-79.80879974
5,1,1,4,3,1719,0,8,40.33539963,-79.94709778
5,0,1,4,1,2210,0,4,40.46409988,-80.00340271
4,2,1,1,2,1,0,8,40.47840118,-79.75189972
4,7,1,1,1,55,0,8,40.4659996,-79.73059845
6,7,1,4,2,815,0,4,40.50899887,-80.2539978
6,1,1,4,2,1010,0,4,40.41410065,-80.0094986
6,7,1,4,1,1050,0,8,40.44540024,-80.00959778
6,1,1,1,2,1200,0,4,40.42919922,-79.92120361
6,7,1,1,2,1053,0,8,40.44950104,-80.00379944
6,4,1,4,2,1211,0,8,40.46569824,-79.94270325
6,7,1,4,1,1110,0,4,40.44459915,-79.98999786
6,1,1,1,2,1428,0,4,40.43439865,-80.19139862
6,7,1,4,1,1620,0,4,40.42399979,-79.9885025
5,5,1,1,2,712,0,8,40.44100189,-79.83010101
5,1,1,4,3,940,0,8,40.59429932,-79.77149963
6,4,1,1,2,1721,0,4,40.37450027,-80.0931015
6,1,1,1,2,2023,0,4,40.45000076,-80.1832962
6,7,1,8,1,2305,0,4,40.37099838,-80.05979919
7,7,1,1,1,1207,0,4,40.40620041,-80.01860046
6,4,1,1,2,1707,0,4,40.3445015,-79.80970001
7,4,1,1,2,1516,0,3,40.38499832,-79.86270142
6,7,1,1,2,1546,0,3,40.62099838,-79.74629974
6,4,1,4,2,2213,0,4,40.3830986,-79.82759857
7,4,1,1,2,1900,0,8,40.40100098,-80.03199768
6,4,1,1,2,1836,0,4,40.47069931,-79.9240036
6,7,1,1,1,2125,0,3,40.4530983,-79.73059845
7,4,1,1,2,2029,0,4,40.37009811,-79.84570313
6,4,1,1,2,1725,0,8,40.6507988,-79.83719635
1,8,1,1,1,1504,0,8,40.46480179,-79.8286972
6,4,1,1,3,1433,0,8,40.32519913,-79.93959808
1,8,1,2,1,1900,0,4,40.50059891,-79.86440277
1,1,1,4,3,1932,0,4,40.45809937,-79.98690033
1,1,1,2,3,2010,0,8,40.4292984,-79.99919891
1,0,1,2,1,2257,0,8,40.47090149,-79.82920074
1,2,1,8,2,426,0,4,40.36909866,-79.97109985
4,2,1,1,2,124,0,8,40.44120026,-79.82129669
2,8,1,4,1,720,0,3,40.43939972,-79.99690247
2,7,1,4,1,822,0,8,40.38819885,-79.99669647
2,4,1,4,2,920,0,4,40.44660187,-79.89369965
6,4,1,1,2,1548,0,1,40.54850006,-79.77749634
6,1,1,1,3,1852,0,4,40.55450058,-80.02120209
1,7,1,1,1,1033,0,4,40.33869934,-80.03029633
7,7,1,1,1,1117,0,8,40.49610138,-79.9394989
6,1,1,4,2,1330,0,4,40.35469818,-79.84249878
2,7,1,2,1,203,0,4,40.51539993,-80.00430298
3,8,1,4,1,9,0,4,40.43690109,-79.89640045
2,8,1,4,2,650,1,2,40.44229889,-79.95240021
4,1,1,1,2,1340,0,4,40.54169846,-79.82569885
2,7,1,4,1,1435,0,8,40.44029999,-79.83260345
6,4,1,4,2,1428,0,4,40.56389999,-80.20549774
3,4,1,1,2,725,0,8,40.41180038,-79.94499969
3,1,1,1,3,1252,0,4,40.34019852,-79.96369934
2,7,1,4,1,2036,0,8,40.41410065,-79.90350342
2,8,1,8,1,1954,0,8,40.44800186,-79.9905014
7,1,1,1,7,1354,0,3,40.43310165,-80.02210236
2,5,1,4,2,445,0,4,40.59410095,-79.89459991
3,2,1,1,2,1758,0,4,40.45729828,-79.90899658
3,7,1,1,1,2000,0,8,40.50569916,-80.08609772
3,2,1,1,2,2200,0,4,40.40480042,-80.01889801
4,1,1,1,2,738,0,8,40.40399933,-79.97640228
3,7,1,8,1,1405,0,3,40.4233017,-79.77300262
6,1,1,4,2,1249,0,8,40.44459915,-79.94539642
4,7,1,1,1,950,0,4,40.38869858,-79.82929993
4,4,1,1,2,1059,0,8,40.39609909,-80.00990295
4,4,1,1,2,1353,0,4,40.4715004,-79.92630005
4,4,1,1,2,1607,0,8,40.45280075,-79.98000336
4,7,1,1,1,1522,0,4,40.42279816,-80.17459869
4,1,1,8,3,1804,0,4,40.46699905,-80.02490234
4,8,1,4,1,2041,0,8,40.45289993,-79.92070007
5,7,1,4,1,2105,0,8,40.43220139,-79.9598999
4,8,1,1,1,1430,0,4,40.42160034,-79.88249969
5,4,1,1,2,900,0,4,40.42639923,-79.74700165
4,2,1,4,2,2235,0,4,40.54710007,-80.21890259
4,7,1,4,1,2321,0,4,40.48860168,-79.8010025
3,7,1,1,1,1443,0,8,40.59049988,-79.88880157
5,1,1,1,3,1830,0,3,40.42990112,-80.02870178
1,2,1,2,2,1805,0,4,40.3993988,-80.18450165
3,7,1,4,1,710,0,4,40.39849854,-80.10520172
3,7,1,1,2,740,0,4,40.39820099,-80.10500336
5,7,1,8,1,740,0,8,40.61880112,-79.98120117
5,7,1,1,1,1418,0,4,40.30590057,-79.82540131
4,7,1,1,1,900,0,4,40.5121994,-79.99340057
5,1,1,1,2,1452,0,8,40.47370148,-79.85649872
5,2,1,1,2,1430,0,4,40.50899887,-79.88829803
6,4,1,1,2,828,0,4,40.46920013,-79.96160126
6,1,1,4,2,841,0,4,40.45220184,-79.95089722
6,4,1,1,2,925,0,4,40.44919968,-80.00499725
4,1,1,1,4,758,0,4,40.37129974,-79.78900146
4,1,1,1,2,1437,0,8,40.38169861,-79.81130219
5,1,1,1,2,1514,0,8,40.30099869,-79.91940308
6,1,1,1,2,1643,0,8,40.4294014,-79.72789764
3,4,1,8,2,1917,0,8,40.3932991,-80.04740143
6,6,1,2,1,1833,0,4,40.46530151,-79.91449738
6,2,1,1,2,2039,1,2,40.38299942,-79.80699921
7,6,1,1,3,155,0,3,40.47399902,-79.79360199
7,7,1,2,1,907,0,8,40.37139893,-80.08029938
7,1,1,1,2,1459,0,8,40.39369965,-79.93450165
4,7,1,4,2,2158,0,4,40.46080017,-79.7161026
5,1,1,1,2,2015,0,8,40.36119843,-80.04689789
5,4,1,4,2,2218,0,4,40.35279846,-80.02619934
2,5,1,4,2,808,0,3,40.64049911,-79.99970245
5,5,1,1,2,750,0,4,40.63230133,-79.98719788
7,2,1,6,2,1515,1,2,40.28779984,-79.99900055
7,8,1,8,1,1750,0,8,40.45629883,-79.99500275
7,4,1,1,2,1800,0,4,40.45399857,-79.95200348
1,7,1,2,1,755,0,4,40.44879913,-79.98750305
7,1,1,2,2,1308,0,4,40.50500107,-80.10410309
7,1,1,1,2,1032,0,8,40.24779892,-79.87580109
1,7,1,1,1,1125,0,4,40.38430023,-79.98040009
7,5,1,1,4,1829,0,4,40.40459824,-79.94259644
1,8,1,1,1,330,0,8,40.45890045,-79.9131012
7,1,1,1,2,2117,0,8,40.35480118,-79.95629883
7,4,1,1,2,1543,0,4,40.60689926,-80.17189789
1,7,1,1,1,2330,0,4,40.46340179,-79.98079681
7,7,1,1,1,510,0,3,40.39569855,-79.82109833
1,7,1,1,1,2355,0,8,40.26279831,-79.87819672
7,4,1,1,2,410,0,4,40.3567009,-79.83319855
5,4,1,1,2,938,0,3,40.65230179,-79.79260254
2,1,1,1,2,930,0,4,40.45149994,-79.90809631
2,1,1,4,2,1948,0,4,40.51699829,-80.2213974
1,4,1,1,2,2200,0,4,40.44380188,-79.92050171
2,8,1,2,1,1840,0,4,40.4294014,-79.98989868
4,7,1,1,1,1828,0,8,40.42950058,-80.02829742
1,1,1,1,2,1925,0,8,40.43939972,-80.00849915
3,8,1,2,1,720,0,4,40.43899918,-79.99479675
3,4,1,1,2,1445,0,8,40.60329819,-79.75730133
6,1,1,1,2,1654,0,8,40.35810089,-80.05000305
5,4,1,1,2,1903,0,8,40.33349991,-80.0515976
3,4,1,1,2,1514,0,3,40.39670181,-79.99359894
3,4,1,1,2,1612,0,4,40.40299988,-79.75700378
4,1,1,1,2,1202,0,4,40.34339905,-79.94069672
4,7,1,1,1,1231,0,8,40.38570023,-79.9713974
4,4,1,1,2,1220,0,8,40.38069916,-79.99980164
3,7,1,1,1,1122,0,8,40.39649963,-79.9029007
1,4,1,1,2,2233,0,8,40.45660019,-80.02919769
3,2,1,1,2,1128,0,8,40.55939865,-80.02339935
7,7,1,1,1,410,0,8,40.43799973,-80.01270294
2,8,1,2,1,2006,0,4,40.54600143,-80.01679993
4,6,1,1,4,2000,0,8,40.40409851,-79.95279694
5,4,1,1,3,35,0,4,40.39870071,-80.03769684
5,7,1,1,1,915,0,4,40.4394989,-79.98500061
1,4,1,1,2,1448,0,4,40.45650101,-79.896698
4,1,1,1,2,1420,0,8,40.46020126,-79.84269714
3,1,1,1,2,1846,0,8,40.67340088,-80.0983963
6,4,1,1,2,1559,0,3,40.49039841,-79.89720154
6,4,1,1,2,1546,0,8,40.34909821,-80.05010223
5,4,1,1,2,1530,0,8,40.39619827,-79.99810028
3,9,1,1,2,1620,0,4,40.31010056,-80.01550293
6,4,1,1,2,1625,0,4,40.43050003,-79.79239655
5,3,1,1,2,2021,0,8,40.49399948,-79.81520081
