STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,PSUN,TSUN,TMAX,TMIN,TOBS
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150701,43,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150702,0,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150703,0,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150704,130,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150705,0,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150706,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150707,46,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150708,43,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150709,165,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150710,53,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150711,23,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150712,0,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150713,30,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150714,20,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150715,119,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150716,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150717,0,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150718,0,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150719,0,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150720,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150721,69,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150722,10,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150723,0,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150724,0,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150725,0,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150726,0,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150727,0,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150728,0,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150729,0,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150730,8,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150731,0,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150801,0,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150802,0,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150803,0,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150804,221,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150805,0,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150806,0,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150807,0,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150808,0,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150809,0,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150810,0,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150811,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150812,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150813,0,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150814,0,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150815,0,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150816,0,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150817,0,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150818,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150819,74,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150820,0,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAAL0001,BRIDGEVILLE 1.4 SW PA US,20150821,8,-9999,-9999,-9999,-9999,-9999,-9999,-9999
